번호,상호,주소,기간,휘발유,동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2019년 12월 1주,1505.0,신창동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2019년 12월 2주,1507.14,신창동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2019년 12월 3주,1520.0,신창동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2019년 12월 4주,1523.57,신창동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2020년 01월 1주,1525.0,신창동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2020년 01월 2주,1534.29,신창동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2020년 01월 3주,1550.0,신창동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2020년 01월 4주,1550.0,신창동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2020년 01월 5주,1548.57,신창동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2020년 02월 1주,1541.43,신창동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2020년 02월 2주,1533.57,신창동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2020년 02월 3주,1513.57,신창동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2020년 02월 4주,1508.57,신창동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2020년 03월 1주,1499.29,신창동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2020년 03월 2주,1480.71,신창동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2020년 03월 3주,1452.86,신창동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2020년 03월 4주,1417.14,신창동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2020년 04월 1주,1376.43,신창동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2020년 04월 2주,1343.57,신창동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2020년 04월 3주,1310.71,신창동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2020년 04월 4주,1280.71,신창동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2020년 04월 5주,1258.57,신창동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2020년 05월 1주,1237.86,신창동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2020년 05월 2주,1209.29,신창동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2020년 05월 3주,1200.71,신창동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2020년 05월 4주,1200.0,신창동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2020년 06월 1주,1220.0,신창동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2020년 06월 2주,1269.29,신창동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2020년 06월 3주,1279.29,신창동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2020년 06월 4주,1290.71,신창동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2020년 07월 1주,1316.43,신창동
A0021591,(주)동행행복주유소,광주 광산구  북문대로 364-5 (신창동),2020년 07월 2주,1325.0,신창동
