동,2019년 11월 1주,2019년 11월 2주,2019년 11월 3주,2019년 11월 4주,2019년 12월 1주,2019년 12월 2주,2019년 12월 3주,2019년 12월 4주,2020년 01월 1주,2020년 01월 2주,2020년 01월 3주,2020년 01월 4주,2020년 01월 5주,2020년 02월 1주,2020년 02월 2주,2020년 02월 3주,2020년 02월 4주,2020년 03월 1주,2020년 03월 2주,2020년 03월 3주,2020년 03월 4주,2020년 04월 1주,2020년 04월 2주,2020년 04월 3주,2020년 04월 4주,2020년 04월 5주,2020년 05월 1주,2020년 05월 2주,2020년 05월 3주,2020년 05월 4주,2020년 06월 1주,2020년 06월 2주,2020년 06월 3주,2020년 06월 4주,2020년 07월 1주,2020년 07월 2주,2020년 07월 3주,2020년 07월 4주,2020년 07월 5주,2020년 08월 1주,2020년 08월 2주,2020년 08월 3주,2020년 08월 4주,2020년 09월 1주,2020년 09월 2주,2020년 09월 3주,2020년 09월 4주,2020년 09월 5주,2020년 10월 1주,2020년 10월 2주,2020년 10월 3주,2020년 10월 4주
삼도동,1579.0,1579.0,1579.0,1579.0,1579.0,1579.0,1579.0,1579.0,1579.0,1579.0,1579.0,1579.0,1579.0,1579.0,1579.0,1579.0,1579.0,1579.0,1544.71,1499.0,1499.0,1456.14,1399.0,1399.0,1399.0,1399.0,1399.0,1370.43,1299.0,1299.0,1299.0,1299.0,1370.43,1399.0,1399.0,1399.0,1399.0,1399.0,1399.0,1399.0,1399.0,1399.0,1399.0,1399.0,1399.0,1399.0,1399.0,1399.0,1399.0,1377.57,1349.0,1349.0
생용동,1498.0,1500.86,1518.0,1518.0,1518.0,1518.0,1518.0,1535.14,1538.0,1546.57,1558.0,1558.0,1558.0,1548.0,1539.43,1526.57,1515.14,1495.14,1472.29,1436.57,1410.86,1372.29,1339.43,1315.14,1293.71,1279.43,1258.0,1258.0,1258.0,1258.0,1258.0,1269.43,1295.14,1335.14,1338.0,1346.57,1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,1333.71,1328.0,1328.0,1328.0,1328.0,1328.0
서봉동,1475.0,1475.0,1503.57,1515.0,1515.0,1515.0,1515.0,1515.0,1515.0,1520.71,1530.71,1525.0,1525.0,1515.0,1509.29,1495.0,1483.57,1465.0,1447.86,1432.14,1377.29,1354.43,1317.86,1282.14,1265.0,1243.57,1235.0,1235.0,1235.0,1235.0,1252.14,1295.0,1295.0,1295.0,1299.29,1309.29,1305.0,1316.43,1325.0,1325.0,1325.0,1325.0,1325.0,1325.0,1305.0,1302.14,1295.0,1286.43,1275.0,1275.0,1275.0,1275.0
서창동,1497.0,1497.0,1497.0,1498.4299999999998,1503.145,1506.145,1514.855,1520.5749999999998,1527.0,1533.285,1548.145,1554.0,1552.5700000000002,1549.0,1533.2849999999999,1512.0,1495.5749999999998,1487.0,1474.86,1450.5749999999998,1414.86,1375.5700000000002,1338.4299999999998,1305.5700000000002,1278.7150000000001,1245.0,1232.715,1199.43,1187.0,1197.7150000000001,1214.14,1272.4250000000002,1307.86,1320.7150000000001,1325.0,1327.855,1330.0,1330.0,1330.0,1330.0,1330.0,1330.0,1330.0,1330.0,1327.145,1310.715,1284.2849999999999,1280.0,1280.0,1280.0,1280.0,1280.0
선암동,1473.0,1473.0,1473.0,1473.0,1487.29,1493.0,1500.14,1506.43,1519.29,1525.0,1525.0,1525.0,1525.0,1519.29,1509.29,1495.0,1487.86,1467.86,1450.71,1431.29,1374.71,1356.43,1317.86,1282.14,1265.0,1247.86,1235.0,1235.0,1220.71,1215.0,1222.14,1270.71,1285.0,1293.57,1302.14,1305.0,1305.0,1305.0,1305.0,1305.0,1305.0,1305.0,1305.0,1305.0,1305.0,1300.71,1292.14,1283.57,1270.71,1265.0,1265.0,1265.0
세하동,1511.5,1511.5,1511.5,1517.9299999999998,1526.5,1526.7849999999999,1532.9299999999998,1537.0700000000002,1538.5,1543.5,1562.0700000000002,1566.5,1566.5,1564.2150000000001,1550.5,1531.5,1513.9299999999998,1498.0700000000002,1489.2150000000001,1470.21,1424.2849999999999,1388.5,1354.21,1323.2150000000001,1293.93,1271.5,1249.5,1224.21,1218.5,1220.355,1235.645,1278.645,1321.0,1332.9299999999998,1336.5,1338.645,1341.5,1341.5,1341.5,1337.9299999999998,1336.5,1336.5,1336.5,1336.5,1334.355,1319.0749999999998,1308.07,1303.5,1300.645,1298.5,1298.5,1298.5
소촌동,1505.0,1504.405,1504.1666666666667,1507.0233333333333,1511.4283333333333,1520.4783333333332,1527.5,1536.5483333333332,1544.1666666666667,1550.9533333333336,1559.5233333333333,1562.8566666666666,1556.1899999999998,1551.7866666666669,1540.7150000000001,1513.4516666666666,1508.4516666666666,1502.4516666666668,1481.335,1460.2150000000001,1415.7366666666667,1380.1433333333334,1341.0966666666666,1305.0966666666666,1286.1449999999998,1263.5966666666666,1257.1666666666667,1255.6183333333333,1251.095,1251.0966666666666,1262.405,1284.6433333333332,1293.3583333333333,1304.8583333333333,1320.6650000000002,1324.0,1324.0,1324.4750000000001,1323.1666666666667,1323.1666666666667,1323.1666666666667,1323.1666666666667,1324.595,1325.6666666666667,1325.6666666666667,1317.4766666666667,1300.095,1298.19,1295.3333333333333,1295.3333333333333,1292.9516666666666,1288.1899999999998
송정동,1498.0,1500.8575,1503.0,1504.0725,1510.5,1513.0,1519.785,1524.0725,1530.1425,1538.7124999999999,1547.285,1548.0,1543.715,1529.07,1520.1425000000002,1502.3575,1484.0,1471.14,1456.8574999999998,1423.6425,1390.785,1350.4299999999998,1316.1425000000002,1272.215,1238.6425,1201.145,1190.0700000000002,1186.5,1190.785,1204.0025,1216.8575,1237.5725,1268.6425,1285.785,1297.9275,1301.5,1310.0725,1313.3575,1319.4275,1318.715,1318.715,1323.0,1321.9275,1320.5,1313.0,1304.0700000000002,1284.0725,1281.5,1280.4275,1279.0,1279.0,1279.0
송촌동,1512.3333333333333,1512.3333333333333,1515.67,1528.5266666666666,1532.3333333333333,1532.3333333333333,1538.5233333333333,1547.0966666666666,1557.38,1564.8066666666666,1567.6666666666667,1569.0966666666666,1565.2833333333335,1557.3833333333332,1539.9533333333336,1532.3333333333333,1523.7600000000002,1498.8100000000002,1471.2866666666666,1441.1899999999998,1397.3833333333332,1365.0,1321.1899999999998,1296.9033333333334,1253.0933333333335,1235.0,1235.0,1235.0,1237.8566666666666,1245.0,1253.57,1279.7633333333333,1304.0466666666666,1320.2366666666667,1327.8566666666666,1340.7133333333331,1348.3333333333333,1348.3333333333333,1348.3333333333333,1348.3333333333333,1348.3333333333333,1348.3333333333333,1346.426666666667,1335.0,1335.0,1333.57,1328.3333333333333,1328.3333333333333,1318.8066666666666,1315.0,1315.0,1310.7166666666665
송하동,1484.4275,1492.36,1506.285,1507.3575,1512.6425,1524.43,1529.0700000000002,1531.6775,1533.7849999999999,1546.6750000000002,1550.25,1544.3925,1535.855,1522.4275,1510.32,1491.0,1481.145,1474.715,1461.9624999999999,1435.965,1398.965,1355.39,1322.3575,1290.395,1262.7524999999998,1240.355,1226.8575,1213.0725,1217.4624999999999,1243.3925,1253.2875,1292.9975000000002,1317.4275,1328.0725,1328.3575,1326.785,1323.6425,1319.9275,1319.5,1319.5,1320.5,1323.535,1318.1425000000002,1312.0,1309.145,1306.145,1287.8575,1280.0,1280.0,1280.0,1277.8575,1273.9275
