"번호","지역","상호","주소","기간","상표","셀프여부","고급휘발유","휘발유","경유","실내등유"
"기준 : 주간(20191103~20200502)"
"A0020701","광주 광산구","(유)모우리주유소","광주 광산구 소촌로 68 (소촌동)","2019년 11월 1주","현대오일뱅크","셀프","0.00","1493.00","1343.00","0.00"
"A0020701","광주 광산구","(유)모우리주유소","광주 광산구 소촌로 68 (소촌동)","2019년 11월 2주","현대오일뱅크","셀프","0.00","1493.00","1343.00","0.00"
"A0020701","광주 광산구","(유)모우리주유소","광주 광산구 소촌로 68 (소촌동)","2019년 11월 3주","현대오일뱅크","셀프","0.00","1493.00","1331.57","0.00"
"A0020701","광주 광산구","(유)모우리주유소","광주 광산구 소촌로 68 (소촌동)","2019년 11월 4주","현대오일뱅크","셀프","0.00","1501.57","1331.57","0.00"
"A0020701","광주 광산구","(유)모우리주유소","광주 광산구 소촌로 68 (소촌동)","2019년 12월 1주","현대오일뱅크","셀프","0.00","1513.00","1343.00","0.00"
"A0020701","광주 광산구","(유)모우리주유소","광주 광산구 소촌로 68 (소촌동)","2019년 12월 2주","현대오일뱅크","셀프","0.00","1513.00","1343.00","0.00"
"A0020701","광주 광산구","(유)모우리주유소","광주 광산구 소촌로 68 (소촌동)","2019년 12월 3주","현대오일뱅크","셀프","0.00","1513.00","1343.00","0.00"
"A0020701","광주 광산구","(유)모우리주유소","광주 광산구 소촌로 68 (소촌동)","2019년 12월 4주","현대오일뱅크","셀프","0.00","1521.57","1347.29","0.00"
"A0020701","광주 광산구","(유)모우리주유소","광주 광산구 소촌로 68 (소촌동)","2020년 01월 1주","현대오일뱅크","셀프","0.00","1533.00","1353.00","0.00"
"A0020701","광주 광산구","(유)모우리주유소","광주 광산구 소촌로 68 (소촌동)","2020년 01월 2주","현대오일뱅크","셀프","0.00","1533.00","1353.00","0.00"
"A0020701","광주 광산구","(유)모우리주유소","광주 광산구 소촌로 68 (소촌동)","2020년 01월 3주","현대오일뱅크","셀프","0.00","1550.14","1370.14","0.00"
